WooCommerce Product,Current WC SKU,Likely QuickBooks item,That item's SKU,Name-match confidence
9kg AUS ALLISON RED GRAPES 澳洲红葡萄,B2B-GRAPE-RED-9KG-1,CNR 9kg AUS ALLISON RED GRAPES 澳洲红葡萄,B2B-ALLISON,0.94
12 x 500g SPAIN DONUT PEACH 西班牙扁桃,AHF-12SPDPEACH,1013 12 x 500g SPAIN DONUT PEACH 西班牙扁桃,AHF-12SDPEACH,0.93
"20"" DOG PEAR 狗梨",AHF-DOGPEAR-20,90 20 DOG PEAR 狗梨,(QBO item has NO code),0.90
8.6kg USA. GREEN GRAPES [H/P] 美国青葡萄,AHF-USAS,7002.14 8 6kg USA GREEN GRAPES H P 美国青葡萄,AHF-USGNGRAPES,0.89
2kg SEEDLESS LYCHEE 无子荔枝,AHF-2KGSL,5010 2 5kg SEEDLESS LYCHEE 无子荔枝,AHF-2.5KGSL,0.87
"6"" AUS. CANDY MELON 澳洲太阳瓜",AHF-CANDYMELON,6022.3 6 AUS CANDY MELON 澳洲太阳瓜,(QBO item has NO code),0.87
"36"" USA WHITE PEACH 美国白桃",AHF-36PSPEACH,7008.1 36 USA WHITE PEACH 美国白桃,AHF-36USPEACH,0.87
"42"" SA. PEAR 非洲耙",AHF-SAPEAR42,4002 70 SA PEAR 非洲耙,AHF-SAPEAR70,0.85
"6"" YELLOW DRAGONFRUIT 黄龙珠果",B2B-678YDF-1,5019.10 6 YELLOW DRAGON FRUIT 黄龙珠果,(QBO item has NO code),0.85
125g USA PINK COSMO BLUEBERRY 粉红蓝莓,AHF-USAPINKBLUE125,1003.11 12 x 125g USA PINK COSMO BLUEBERRY 粉红蓝莓,AHF-USAPINKBLUE,0.84
4kg 9R USA RAINIER CHERRY 美国白车厘子,AHF-9RUSRAINER,1010.05 4KG 9R US RAINIER CHERRY 白车厘子,AHF-9RUSR,0.84
"6"" SA. POMEGRANATE 石榴",AHF-POMEGRANATE-9-1,0015.1 6 SA POMEGRANATE 石榴,(QBO item has NO code),0.84
"18"" AUS HASS AVOCADO 澳洲粗皮牛油果",AHF-AVOCADO-28HASS,0003 28 AUS HASS AVOCADO 粗皮牛油果,AHF-AVOCADO-28,0.84
"18"" WHITE DRAGONFRUIT 白龙珠果",B2B-18DRAGON,W-T06 WHITE DRAGONFRUIT 白龙珠果 pc,(QBO item has NO code),0.82
"113"" AUS. SUNKIST NAVEL 澳洲肉橙",AHF-AUSSUNKIST113,3003.2 113 AUS SUNKIST NAVEL 澳洲三级星橙,(QBO item has NO code),0.82
"8"" YELLOW DRAGONFRUIT 黄色龙珠果",B2B-678YDF-2,5019 6 7 8 YELLOW DRAGON FRUIT 黄龙珠果,B2B-678YDF,0.82
"15 X 5"" ROCKIT APPLE 纽西兰小苹果",AHF-ROCKIT-16X5,R 16 x 5 ROCKIT APPLE 乐淇苹果,AHF-ROCKIT-15X5,0.81
SA. NAVEL ORANGE 非洲肉橙 (L),AHF-SUNKIST-S,3000 40 SA NAVEL ORANGE 非洲肉橙,AHF-40SAORA,0.80
JAPANESE TOKI APPLE 日本王琳 (pc),B2C-APPLE-JAP-ORIN,7007.1 36 JAPANESE TOKI APPLE 日本王琳,B2B-APPLE-JAP-ORIN-BOX,0.79
NZ. ENVY APPLE 新西兰爱妃苹果 (M),AHF-ENVY-M,2021.2 70 NZ ENVY APPLE 新西兰爱妃苹果,AHF-ENVY-72,0.78
8kg 80mm CN. WOGAM 中国沃柑,AHF-80MMWG,WG6 8kg 80 85mm CHINA WOGAM 沃柑,AHF-WOGAM-3,0.77
USA. KISS MELON 美国亲亲瓜 (pc),AHF-ROCKMELON-6-1-1-1,KM.1 8 9 USA KISS MELON 美国亲亲瓜,AHF-9KMELON,0.77
BING TANG LI 冰糖梨 (pc),AHF-BTL,BT.1 8 BING TANG LI 冰糖梨,(QBO item has NO code),0.76
500g SA/EGY GREEN GRAPES 非洲青葡萄,AHF-GRAPE-MUSCAT-1-1,7001.4-R 4 5kg SA GREEN GRAPES 非洲青葡萄,(QBO item has NO code),0.76
GOLD KIWI 金奇异果,AHF-KIWI-GOLD-1,9049 GOLD KIWI pcs 金奇异果,(QBO item has NO code),0.76
NETHERLANDS CONFERENCE PEAR 荷兰耙,AHF-CONFERENCE-1,4013 HOLLAND CONFERENCE PEAR 荷兰耙 pc,(QBO item has NO code),0.76
15“ JELLY COCONUT 椰子果冻,AHF-JCOCO,5005.5 JELLY COCONUT 椰果 pcs,(QBO item has NO code),0.75
LONGAN 龙眼 (1 kg),AHF-LONGAN-500,W-T08 LONGAN 龙眼 kg,(QBO item has NO code),0.75
