WC SKU,Website product name,QBO code,QBO description
AHF-PEACH-18-1,"18"" USA. WHITE PEACH 美国白桃",7008,"18"" USA. WHITE PEACH 美国白桃"
AHF-WOGAM-3840,"38/40"" CHINA WOGAM 沃柑",WG5,"38/40"" CHINA WOGAM 沃柑"
B2B-PERSIMMON40,"40"" NZ PERSIMMON 纽西兰柿子",6023.6,"40"" NZ PERSIMMON 纽西兰柿子"
AHF-BINGTANGLI-9,"9"" BING TANG LI 冰糖梨",AHF-BTL,
AHF-CHERRYRAINIER-9r,4kg 9R RAINIER CHERRY 白车厘子,1009,"4KG 9R"" RAINIER CHERRY 白车厘子"
AHF-DURIANSPOTATO-1,30 x 350g CHINA PEANUT 陈皮花生,S.3,30 x 350g CHINA PEANUT 陈皮花生
AHF-DURIANSPOTATO,40 x 500g CHINA DURIAN SWEET POTATO 榴莲番薯,9063,40 x 500g CHINA DURIAN SWEET POTATO 榴莲番薯
AHF-CHERRYRAINIER-1-1,4kg 9.5R RAINIER CHERRY 白车厘子,AHF-9.5RUSRAINER,1010 4KG 9 5R RAINIER CHERRY 白车厘子
AHF-CHERRYTURKEY-1,"5kg 28mm"" TUR. CHERRY 土耳其樱桃",RC.6,"5kg 28mm"" TUR. CHERRY 土耳其樱桃"
B2B-PEAR-RED-SA-BOX-45,"48"" SA RED PEAR 非洲红耙",B2B-REDPEAR48,0009 48 SA RED PEAR 非洲红耙
AHF-FRAGRANT-XXL-1-1-1,HW FRAGRANT PEAR XXL (7kg) 大香梨,AHF-HWFPEAR,4007.3 HW FRAGRANT PEAR XXL 7kg 大香梨
AHF-CHERRYTURKEY,"5kg 30mm"" TUR. CHERRY 土耳其樱桃",1053,"5kg 30mm"" TUR. CHERRY 土耳其樱桃"
AHF-GRAPE-MUSCAT-2,5kg CHINA MUSCAT 杨光葡萄,AHF-STYMUSCAT,7002.29 5kg CHINA MUSCAT 杨光葡萄
AHF-PINEAPPLE-TW7,"7"" DOLE TAIWAN PINEAPPLE 台湾宾黄梨",AHF-8TWPINE,5021.4 8 DOLE TAIWAN PINEAPPLE 台湾宾黄梨
AHF-CHERRYRAINIER-1,RAINIER CHERRY 白车厘子 (kg),B2C-RAINIER,9033 RAINIER CHERRY 白樱桃 kg
AHF-LEMONSA100,"100"" SA. LEMON 非洲柠檬",3010,"100"" SA. LEMON 非洲柠檬"
AHF-FFALL-PLUM-2,10kg 68mm FLAVOR FALL PLUM 澳洲红李子,1060.4,10kg 48mm FLAVOR FALL PLUM 澳洲红李子
AHF-KOREAPEAR,"8"" KOREAN PEAR 韩国梨",K1.3,"8"" KOREAN PEAR 韩国梨"
AHF-DRAGON-Y-8-1,"8"" CHINA YELLOW DRAGONFRUIT 黄色龙珠果",AHF-8CNYDF,W-T05 8 CHINA YELLOW DRAGONFRUIT 黄色龙珠果
AHF-ENVY-80,"80"" NZ. ENVY APPLE 新西兰爱妃苹果",2038-1,"80"" NZ. ENVY APPLE 新西兰爱妃苹果"
AHF-ENVY-28-1,"30"" NZ. ENVY APPLE 新西兰爱妃苹果",AHF-ENVY30,2021.4 30 NZ ENVY APPLE 新西兰爱妃苹果
AHF-1x16-LYCHEE,12 x 600g LYCHEE 中国妃子笑荔枝,5015.5,12 x 600g LYCHEE 中国妃子笑荔枝
B2B-APPLE-FUJI-2,"[TRUCAPE] 120"" SA. FUJI APPLE 非洲富士",AHF-TC120FUJI,2012.2 TRUCAPE 120 SA FUJI APPLE 非洲富士
AHF-GUAVA-1-1,GUAVA 番石榴 (pc),9025,GUAVA 番石榴 (pcs)
B2B-APPLE-FUJI-1,"[DUT/WHITE] 135"" SA. FUJI APPLE [白箱]非洲富士",AHF-DUT135SAFUJI,2001 DUT WHITE 135 SA FUJI APPLE 白箱 非洲富士
AHF-MANDARINORANGE,"60"" EGYPT HONEY MAN. ORANGE 埃及柑",3038.2.1,"60"" EGYPT HONEY MAN. ORANGE 埃及柑"
AHF-9KG-LYCHEE-1,CHINA LYCHEE [FZX] 中国妃子笑荔枝 (kg),5015.6,LYCHEE 荔枝 (kg)
AHF-POMEGRANATE-9-1,"10"" SA. POMEGRANATE 石榴",9026.3,"8/10"" SA. POMEGRANATE 石榴"
AHF-MUSKMELONCN,"6"" CHINA MUSKMELON 中国香瓜",5011.1,"6"" CHINA MUSKMELON 中国香瓜"
AHF-CHERRY-1-1,"5kg 9.5R"" US. CHERRY 美国车厘子",AHF-9.5RUSC,1008 5kg 9 5R US CHERRY 美国车厘子
AHF-ANGELINOAUS,10kg 60mm AUS. ANGELINO PLUM 澳洲黑红李子,9062.2,10kg 60mm AUS. ANGELINO PLUM 澳洲黑红李子
AHF-NZA1-1-1-2,"80"" NZ. AMBROSIA APPLE 纽西兰苹果",3307.1,"80"" NZ. AMBROSIA APPLE 纽西兰苹果"
AHF-STRAWBERRY-USA-1,250g USA. STRAWBERRY 美国草莓 (pkt),B2C-USASTRAW,KS1 250g USA STRAWBERRY 美国草莓
AHF-COCONUT-12-2,COCONUT THUMB 椰子水 (pc),w-003,COCONUT THUMB 椰水 (pc)
